bid_min,bid_max,wait_min,ask_lo,ask_hi,n_train,train_edge,train_dpd
0.6,0.85,3,0.6,0.9,224,5.46416369047619,5.099886111111111
0.65,0.8,3,0.65,0.85,185,3.9962918918918913,3.080475
0.65,0.85,3,0.55,0.85,185,3.9962918918918913,3.080475
0.65,0.8,3,0.6,0.85,185,3.9962918918918913,3.080475
0.7,0.8,3,0.55,0.85,185,3.9962918918918913,3.080475
0.65,0.85,3,0.65,0.85,185,3.9962918918918913,3.080475
0.65,0.85,3,0.6,0.85,185,3.9962918918918913,3.080475
0.7,0.75,3,0.6,0.85,185,3.9962918918918913,3.080475
0.7,0.75,3,0.65,0.85,185,3.9962918918918913,3.080475
0.7,0.75,3,0.55,0.85,185,3.9962918918918913,3.080475
0.7,0.85,3,0.6,0.85,185,3.9962918918918913,3.080475
0.7,0.8,3,0.6,0.85,185,3.9962918918918913,3.080475
0.7,0.8,3,0.65,0.85,185,3.9962918918918913,3.080475
0.6,0.85,3,0.65,0.85,185,3.9962918918918913,3.080475
0.65,0.75,3,0.6,0.85,185,3.9962918918918913,3.080475
0.6,0.85,3,0.6,0.85,185,3.9962918918918913,3.080475
0.6,0.85,3,0.55,0.85,185,3.9962918918918913,3.080475
0.65,0.75,3,0.55,0.85,185,3.9962918918918913,3.080475
0.6,0.8,3,0.65,0.85,185,3.9962918918918913,3.080475
0.65,0.75,3,0.65,0.85,185,3.9962918918918913,3.080475
0.65,0.8,3,0.55,0.85,185,3.9962918918918913,3.080475
0.7,0.85,3,0.65,0.85,185,3.9962918918918913,3.080475
0.7,0.85,3,0.55,0.85,185,3.9962918918918913,3.080475
0.6,0.75,3,0.55,0.85,185,3.9962918918918913,3.080475
0.6,0.75,3,0.65,0.85,185,3.9962918918918913,3.080475
0.6,0.8,3,0.6,0.85,185,3.9962918918918913,3.080475
0.6,0.8,3,0.55,0.85,185,3.9962918918918913,3.080475
0.6,0.75,3,0.6,0.85,185,3.9962918918918913,3.080475
0.6,0.75,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.6,0.8,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.6,0.8,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.6,0.75,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.6,0.8,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.8,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.6,0.85,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.6,0.85,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.6,0.85,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.8,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.6,0.75,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.85,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.85,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.85,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.75,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.75,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.75,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.85,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.85,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.8,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.85,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.8,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.75,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.8,1,0.6,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.75,1,0.55,0.85,231,3.355953823953823,3.2301055555555553
0.7,0.75,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.8,1,0.65,0.85,231,3.355953823953823,3.2301055555555553
0.65,0.85,1,0.65,0.9,244,3.2016584699453547,3.2550194444444447
0.65,0.85,1,0.6,0.9,244,3.2016584699453547,3.2550194444444447
