ticker,coin,close_ts,side,entry_bid,entry_ask,entry_spread,bid,ask,spread,vol,rise,widen,coin_order,won,utc,day,week,fee,pnl,edge_c
KXBTC15M-26JUN260900-00,BTC,1782478800,yes,0.78,0.79,0.010000000000000009,0.8,0.81,0.010000000000000009,63220.54,0.020000000000000018,0.0,0,1,2026-06-26 13:00:00+00:00,2026-06-26,26,0.1616,2.6883999999999992,17.92266666666666
KXBTC15M-26JUN261200-00,BTC,1782489600,no,0.6799999999999999,0.69,0.010000000000000009,0.76,0.77,0.010000000000000009,57031.27,0.08000000000000007,0.0,0,1,2026-06-26 16:00:00+00:00,2026-06-26,26,0.186,3.264,21.759999999999998
KXBTC15M-26JUN261500-00,BTC,1782500400,no,0.6699999999999999,0.6799999999999999,0.010000000000000009,0.8,0.81,0.010000000000000009,110467.8,0.13000000000000012,0.0,0,1,2026-06-26 19:00:00+00:00,2026-06-26,26,0.1616,2.6883999999999992,17.92266666666666
KXETH15M-26JUN270900-00,ETH,1782565200,yes,0.66,0.68,0.020000000000000018,0.76,0.77,0.010000000000000009,2799.34,0.09999999999999998,-0.010000000000000009,1,1,2026-06-27 13:00:00+00:00,2026-06-27,26,0.186,3.264,21.759999999999998
KXBTC15M-26JUN281600-00,BTC,1782676800,no,0.72,0.73,0.010000000000000009,0.84,0.85,0.010000000000000009,85175.54,0.12,0.0,0,0,2026-06-28 20:00:00+00:00,2026-06-28,26,0.1339,-12.8839,-85.89266666666667
KXBTC15M-26JUN292100-00,BTC,1782781200,yes,0.67,0.68,0.010000000000000009,0.79,0.8,0.010000000000000009,83790.67,0.12,0.0,0,1,2026-06-30 01:00:00+00:00,2026-06-30,27,0.168,2.831999999999999,18.879999999999995
KXBTC15M-26JUN301100-00,BTC,1782831600,no,0.65,0.6599999999999999,0.009999999999999898,0.81,0.8200000000000001,0.010000000000000009,80941.42,0.16000000000000003,1.1102230246251565e-16,0,1,2026-06-30 15:00:00+00:00,2026-06-30,27,0.155,2.5449999999999995,16.96666666666666
KXHYPE15M-26JUN301600-00,HYPE,1782849600,yes,0.69,0.73,0.040000000000000036,0.78,0.81,0.030000000000000027,2137.03,0.09000000000000008,-0.010000000000000009,5,1,2026-06-30 20:00:00+00:00,2026-06-30,27,0.1616,2.6883999999999992,17.92266666666666
KXBTC15M-26JUL011000-00,BTC,1782914400,yes,0.66,0.67,0.010000000000000009,0.83,0.84,0.010000000000000009,70754.43,0.16999999999999993,0.0,0,1,2026-07-01 14:00:00+00:00,2026-07-01,27,0.1412,2.2588000000000004,15.05866666666667
KXBTC15M-26JUL012000-00,BTC,1782950400,no,0.75,0.76,0.010000000000000009,0.77,0.78,0.010000000000000009,110670.49,0.020000000000000018,0.0,0,1,2026-07-02 00:00:00+00:00,2026-07-02,27,0.1802,3.1197999999999997,20.798666666666666
KXBTC15M-26JUL012100-00,BTC,1782954000,yes,0.71,0.72,0.010000000000000009,0.81,0.82,0.009999999999999898,85930.42,0.10000000000000009,-1.1102230246251565e-16,0,1,2026-07-02 01:00:00+00:00,2026-07-02,27,0.155,2.545000000000001,16.966666666666672
KXBTC15M-26JUL012300-00,BTC,1782961200,yes,0.67,0.68,0.010000000000000009,0.82,0.83,0.010000000000000009,99639.09,0.1499999999999999,0.0,0,1,2026-07-02 03:00:00+00:00,2026-07-02,27,0.1482,2.4018000000000006,16.012000000000004
KXBTC15M-26JUL021400-00,BTC,1783015200,no,0.6599999999999999,0.6699999999999999,0.010000000000000009,0.83,0.84,0.010000000000000009,68912.16,0.17000000000000004,0.0,0,1,2026-07-02 18:00:00+00:00,2026-07-02,27,0.1412,2.2588000000000004,15.05866666666667
KXSOL15M-26JUL021800-00,SOL,1783029600,no,0.75,0.76,0.010000000000000009,0.83,0.84,0.010000000000000009,2929.52,0.07999999999999996,0.0,2,0,2026-07-02 22:00:00+00:00,2026-07-02,27,0.1412,-12.7412,-84.94133333333332
KXBTC15M-26JUL022200-00,BTC,1783044000,no,0.6699999999999999,0.6799999999999999,0.010000000000000009,0.72,0.73,0.010000000000000009,90505.0,0.050000000000000044,0.0,0,1,2026-07-03 02:00:00+00:00,2026-07-03,27,0.207,3.843000000000001,25.620000000000005
KXBTC15M-26JUL031800-00,BTC,1783116000,yes,0.65,0.66,0.010000000000000009,0.77,0.78,0.010000000000000009,74994.15,0.12,0.0,0,1,2026-07-03 22:00:00+00:00,2026-07-03,27,0.1802,3.1197999999999997,20.798666666666666
KXBTC15M-26JUL040600-00,BTC,1783159200,yes,0.66,0.67,0.010000000000000009,0.81,0.82,0.009999999999999898,50062.48,0.15000000000000002,-1.1102230246251565e-16,0,1,2026-07-04 10:00:00+00:00,2026-07-04,27,0.155,2.545000000000001,16.966666666666672
KXXRP15M-26JUL041100-00,XRP,1783177200,no,0.6599999999999999,0.6699999999999999,0.010000000000000009,0.83,0.84,0.010000000000000009,2902.59,0.17000000000000004,0.0,3,0,2026-07-04 15:00:00+00:00,2026-07-04,27,0.1412,-12.7412,-84.94133333333332
KXETH15M-26JUL041200-00,ETH,1783180800,yes,0.71,0.72,0.010000000000000009,0.81,0.83,0.019999999999999907,2749.83,0.10000000000000009,0.009999999999999898,1,1,2026-07-04 16:00:00+00:00,2026-07-04,27,0.1482,2.4018000000000006,16.012000000000004
KXBTC15M-26JUL050600-00,BTC,1783245600,yes,0.78,0.79,0.010000000000000009,0.83,0.84,0.010000000000000009,41329.65,0.04999999999999993,0.0,0,1,2026-07-05 10:00:00+00:00,2026-07-05,27,0.1412,2.2588000000000004,15.05866666666667
KXBTC15M-26JUL051400-00,BTC,1783274400,yes,0.65,0.66,0.010000000000000009,0.74,0.75,0.010000000000000009,69353.21,0.08999999999999997,0.0,0,1,2026-07-05 18:00:00+00:00,2026-07-05,27,0.1969,3.5531,23.687333333333335
KXBTC15M-26JUL051900-00,BTC,1783292400,yes,0.7,0.71,0.010000000000000009,0.8,0.81,0.010000000000000009,94566.04,0.10000000000000009,0.0,0,1,2026-07-05 23:00:00+00:00,2026-07-05,27,0.1616,2.6883999999999992,17.92266666666666
KXBTC15M-26JUL052000-00,BTC,1783296000,no,0.6699999999999999,0.6799999999999999,0.010000000000000009,0.81,0.8200000000000001,0.010000000000000009,50576.33,0.14000000000000012,0.0,0,1,2026-07-06 00:00:00+00:00,2026-07-06,28,0.155,2.5449999999999995,16.96666666666666
KXBTC15M-26JUL052200-00,BTC,1783303200,no,0.6799999999999999,0.69,0.010000000000000009,0.79,0.8,0.010000000000000009,58069.72,0.1100000000000001,0.0,0,1,2026-07-06 02:00:00+00:00,2026-07-06,28,0.168,2.831999999999999,18.879999999999995
KXBTC15M-26JUL061000-00,BTC,1783346400,yes,0.67,0.68,0.010000000000000009,0.76,0.77,0.010000000000000009,93195.67,0.08999999999999997,0.0,0,1,2026-07-06 14:00:00+00:00,2026-07-06,28,0.186,3.264,21.759999999999998
