wait_seconds,delay_minutes,ask_ceiling,probe_qty,commit_qty,volume_filter,eligible_markets,calendar_days,live_fill_rate_win,live_fill_rate_lose,live_nofill_win_rate,mean_commits,mean_probe_fills,mean_total_pnl,mean_pnl_per_day,pnl_day_ci_lo,pnl_day_ci_hi,p_mean_day_nonpositive,median_max_drawdown,max_drawdown_p95,median_worst_window,p_hit_211_over_history
300,5,0.78,1,15,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,59.32,2334.721666666667,191.11280766666673,2.6179836666666674,1.286957671232877,3.8421924315068483,0.0016666666666666668,22.499549999999864,46.21063499999983,-11.5916,0.0
300,5,0.78,1,20,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,59.75333333333333,2334.2266666666665,259.5019568333334,3.5548213264840185,1.6220076369863023,5.495749246575342,0.0,25.17529999999995,53.26994500000001,-15.402299999999999,0.0
300,5,0.8,1,10,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,69.65833333333333,2334.825,138.6012021666667,1.8986466050228314,1.0524269178082197,2.817316198630137,0.0,23.252849999999924,40.260505000000066,-8.112,0.0
300,5,0.8,1,15,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,70.79333333333334,2331.2716666666665,216.26643100000007,2.9625538493150687,1.3783060273972603,4.398507773972602,0.0016666666666666668,22.937549999999987,47.98223499999992,-11.8802,0.0
300,5,0.8,1,20,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,70.035,2333.568333333333,291.01145233333335,3.9864582511415527,1.8328057191780827,5.98655743150685,0.0033333333333333335,25.254849999999905,57.848049999999915,-15.7494,0.0
300,5,0.82,1,10,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,76.16,2337.35,151.55704550000002,2.0761239109589043,1.2210953424657536,2.9876118150684934,0.0,21.531550000000138,38.12779500000006,-8.1471,0.0
300,5,0.82,1,15,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,76.14666666666666,2336.8366666666666,230.31088966666672,3.1549436940639275,1.5703478424657535,4.577525034246577,0.0,22.35254999999988,47.07054999999988,-12.0969,0.0
300,5,0.82,1,20,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,77.56,2331.846666666667,312.36928883333337,4.279031353881279,2.0040426712328774,6.323749109589041,0.0,25.330799999999854,55.63275000000027,-15.840300000000001,0.0
300,5,0.85,1,10,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,99.69333333333333,2331.2716666666665,178.3821828333334,2.443591545662101,1.2963486986301376,3.5005862671232877,0.0,20.169050000000063,36.81992999999991,-8.4941,0.0
300,5,0.85,1,15,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,98.665,2333.568333333333,272.13082666666674,3.7278195433789962,1.9145950342465752,5.484489863013699,0.0,20.957900000000052,46.07221499999995,-12.598199999999999,0.0
300,5,0.85,1,20,True,2578,73,0.880184331797235,0.9883720930232558,0.9629629629629629,98.50666666666666,2334.3966666666665,359.84781883333335,4.929422175799086,2.3879762671232885,7.318366815068494,0.0,24.44804999999991,58.59211999999995,-16.7923,0.0
