horizon,model,split,c,n,log_loss,brier,auc,calibration_intercept,calibration_slope
4,raw_mid,test,,7700,0.3150120575670467,0.09926829538961039,0.9393761322243743,0.13404373558234803,1.053610735703047
4,physical,test,,7700,0.34809839222908545,0.10906701408514669,0.9274828506467849,0.11918704882725097,1.215410573994069
2,market,train,0.1,17699,0.20611861267838558,0.062121120929803084,0.9741311486349867,-0.0011758113864477023,1.0404509833036213
2,market,valid,0.1,8464,0.19367894089423954,0.05866303155304948,0.9773617074736872,0.1779031401460938,1.017584272680162
2,market,test,0.1,7176,0.20261603867734157,0.061001191995850176,0.9751954584650763,0.14753396611979766,1.0005294447842745
2,blend,train,1.0,17699,0.2052593217528031,0.06201480322947281,0.9743418199539021,0.00012670638691082941,1.0027831697342142
2,blend,valid,1.0,8464,0.192209784486462,0.05851210863561838,0.9778112733465479,0.162907927352906,1.0014934927758339
2,blend,test,1.0,7176,0.20228143257974082,0.06098271097977354,0.9752667355484257,0.13230518051401127,0.99296169529594
2,full,train,10.0,17699,0.20382369668328318,0.06188975353859887,0.9746882335300288,-0.0002455048670993269,1.000756175615487
2,full,valid,10.0,8464,0.19302593134744794,0.05890463489131609,0.9775718473435887,0.1599667754650054,0.9882639540114194
2,full,test,10.0,7176,0.20193265202949484,0.06093198743751129,0.9754176798241185,0.14496513370079978,0.9820558533767432
2,raw_mid,train,,17699,0.20668895420011688,0.062285539974009825,0.9740472837828704,0.0025913598032103295,1.0531332166963294
2,physical,train,,17699,0.2404274295034145,0.07319392894959119,0.9647693592653761,-0.020618164677866632,1.0456468949183346
2,raw_mid,valid,,8464,0.1929247491334155,0.058455420545841213,0.9776084201122308,0.18842782294523813,1.0375148263590588
2,physical,valid,,8464,0.2233102967052789,0.0680397455333224,0.9704019654373377,0.08655580894520104,1.1561214763394743
2,raw_mid,test,,7176,0.20311512107520857,0.061287302640746937,0.9751077119085167,0.15852083151624025,1.0140000963941531
2,physical,test,,7176,0.2517884035117761,0.07643630780252528,0.9623869083225219,0.1281086516188768,1.1679704240357924
