ticker,series,side,frontier_bid,distance_c,multiplier,pool_reward,target,cumulative_ahead,guaranteed_capacity,rest_fraction,min_qty_for_1usd,modeled_reward,worst_one_fill_loss,reward_to_loss,fits_frontier,arithmetic_cover,scalable_candidate,reward_day_if_repeated
KXUST5AM-26AUG31-T4.46,KXUST5AM,yes,0.37,2.0000000000000018,0.2499999999999997,100.0,1000.0,476.0,524,0.5,162,1.0023511941591374,59.94,0.01672257581179742,True,False,False,0.1898707854133755
KXAMZNCC-26SEP07-T111,KXAMZNCC,no,0.75,1.0000000000000009,0.4999999999999996,100.0,1000.0,967.0,33,0.5,81,1.002351194159138,60.75,0.0164996081343068,False,False,False,0.19597520699330942
KXRUT-26AUG31-3350,KXRUT,no,0.94,1.0000000000000009,0.4999999999999996,120.0,1000.0,550.0,450,0.5,68,1.0114030738720863,63.919999999999995,0.015822951718899976,True,False,False,0.18133359726184778
KXRUT-26AUG31-3500,KXRUT,no,0.96,1.0000000000000009,0.4999999999999996,120.0,1000.0,930.0,70,0.5,68,1.0114030738720863,65.28,0.01549330689142289,True,False,False,0.1813335972678182
KXAMZNCC-26SEP07-T108,KXAMZNCC,yes,0.4,1.999999999999996,0.2500000000000006,100.0,1000.0,907.0,93,0.5,162,1.0023511941591412,64.8,0.015468382625912673,False,False,False,0.1959997008263013
KXVOTEPRIMARY-SCRSENS26RNORRNOR-25,KXVOTEPRIMARY,yes,0.4,1.999999999999996,0.2500000000000006,100.0,1000.0,922.88,77,0.5,162,1.0023511941591412,64.8,0.015468382625912673,False,False,False,0.2292926837690439
KXPLTR-26NOVCUST-1120,KXPLTR,no,0.82,1.0000000000000009,0.4999999999999996,100.0,1000.0,922.92,77,0.5,81,1.002351194159138,66.42,0.015091105000890365,False,False,False,0.2008371995507196
KXWENCC-26SEP07-T90.5,KXWENCC,no,0.82,1.0000000000000009,0.4999999999999996,100.0,1000.0,984.05,15,0.5,81,1.002351194159138,66.42,0.015091105000890365,False,False,False,0.195975206707428
KXLOW-26AUGCOMP-1.0,KXLOW,no,0.41,2.0000000000000018,0.2499999999999997,100.0,1000.0,992.93,7,0.5,162,1.0023511941591374,66.42,0.015091105000890356,False,False,False,0.2008623012428655
KXCMGCC-26SEP07-T102.5,KXCMGCC,no,0.86,1.0000000000000009,0.4999999999999996,100.0,1000.0,905.49,94,0.5,81,1.002351194159138,69.66,0.014389193140383838,True,False,False,0.1959752069103087
KXTEMUCC-26SEP07-T104,KXTEMUCC,yes,0.86,1.0000000000000009,0.4999999999999996,100.0,1000.0,978.0,22,0.5,81,1.002351194159138,69.66,0.014389193140383838,False,False,False,0.1959752067478308
KXVOTEPRIMARY-FLPRIMARY25D26OLAROLAR-30,KXVOTEPRIMARY,no,0.39,1.999999999999996,0.2500000000000006,90.0,1000.0,959.0,41,0.5,180,1.001236093943142,70.2,0.014262622420842478,False,False,False,0.229292683735383
KXSGFT-26SEP07-T120,KXSGFT,no,0.91,1.0000000000000009,0.4999999999999996,100.0,1000.0,816.3,183,0.5,81,1.002351194159138,73.71000000000001,0.013598578132670437,True,False,False,0.19286479115271046
KXMCDFT-26SEP07-T108,KXMCDFT,no,0.92,1.0000000000000009,0.4999999999999996,100.0,1000.0,879.0,121,0.5,81,1.002351194159138,74.52000000000001,0.013450767500793584,True,False,False,0.19286479118886074
KXLULUCC-26SEP07-T82,KXLULUCC,yes,0.67,1.999999999999991,0.2500000000000016,145.0,1000.0,967.73,32,0.5,112,1.007944389275081,75.04,0.013432094739806515,False,False,False,0.196483650547268
KXSGA-27FEBMARGIN-15,KXSGA,no,0.94,1.0000000000000009,0.4999999999999996,100.0,1000.0,804.26,195,0.5,81,1.002351194159138,76.14,0.01316458095822351,True,False,False,0.20083719922004115
KXWENCC-26SEP07-T87.5,KXWENCC,no,0.47,2.0000000000000018,0.2499999999999997,100.0,1000.0,687.84,312,0.5,162,1.0023511941591374,76.14,0.013164580958223501,True,False,False,0.1959997005289665
KXUST10AM-26AUG31-T4.88,KXUST10AM,yes,0.06,5.0,0.03125,100.0,1000.0,645.0,355,0.5,1293,1.0000541405953918,77.58,0.012890617950443307,False,False,False,0.18945198854048223
KXAAAGASD-26AUG07-4.035,KXAAAGASD,no,0.06,5.0,0.03125,100.0,1000.0,723.04,276,0.5,1293,1.0000541405953918,77.58,0.012890617950443307,False,False,False,1.5167906901350006
KXEURUSDAW-26AUG07-1.1510,KXEURUSDAW,yes,0.58,2.0000000000000018,0.2499999999999997,120.0,1000.0,764.34,235,0.5,135,1.0040285094515018,78.3,0.012822841755447022,True,False,False,0.23597314272556424
KXCMGCC-26SEP07-T105,KXCMGCC,no,0.97,1.0000000000000009,0.4999999999999996,100.0,1000.0,409.2,590,0.5,81,1.002351194159138,78.57,0.012757428969824847,True,False,False,0.19597520692085085
KXAMZNCC-26SEP07-T104,KXAMZNCC,no,0.25,3.0000000000000027,0.1249999999999997,100.0,1000.0,945.0,55,0.5,324,1.0023511941591363,81.0,0.012374706100730078,False,False,False,0.19601195003368382
KXADJOURNRECESS-26AUG-AUG10,KXADJOURNRECESS,yes,0.36,4.000000000000004,0.0624999999999998,285.0,1000.0,733.0,267,0.5,226,1.0028648833805591,81.36,0.012326264544992123,True,False,False,0.1932781294214581
KXSG-26NOVMARGIN-9,KXSG,no,0.07,4.999999999999999,0.03125,110.0,1000.0,905.0,95,0.5,1175,1.0005806077027288,82.25000000000001,0.012165113771461747,False,False,False,0.200341758313035
KXSHEINCC-26SEP07-T96,KXSHEINCC,no,0.56,1.999999999999991,0.2500000000000016,110.0,1000.0,969.67,30,0.5,147,1.0014244132036974,82.32000000000001,0.012165019596740734,False,False,False,0.19563673821088529
KXWTIMAX-26AUG31-T92.50,KXWTIMAX,no,0.84,1.0000000000000009,0.4999999999999996,80.0,1000.0,95.0,905,0.5,102,1.0071587262404336,85.67999999999999,0.01175488709430945,True,False,False,0.2400334326025119
KXLULUCC-26SEP07-T86,KXLULUCC,no,0.77,2.0000000000000018,0.2499999999999997,145.0,1000.0,975.19,24,0.5,112,1.0079443892750732,86.24000000000001,0.011687666851519864,False,False,False,0.1964836505516696
KXUST10AM-26AUG31-T4.74,KXUST10AM,no,0.55,1.999999999999991,0.2500000000000016,100.0,1000.0,940.0,60,0.5,162,1.0023511941591452,89.10000000000001,0.011249732818845623,False,False,False,0.18987078551271389
KXSGA-27FEBMARGIN-11.5,KXSGA,yes,0.07,4.999999999999999,0.03125,100.0,1000.0,497.0,503,0.5,1293,1.0000541405953918,90.51,0.011049101100379977,False,False,False,0.20041925980343414
KXSGA-27FEBMARGIN-12.5,KXSGA,yes,0.07,4.999999999999999,0.03125,100.0,1000.0,780.27,219,0.5,1293,1.0000541405953918,90.51,0.011049101100379977,False,False,False,0.20041925980847686
KXSHEINCC-26SEP07-T104,KXSHEINCC,yes,0.04,6.000000000000001,0.0156249999999999,110.0,1000.0,884.44,115,0.5,2349,1.0001587000530228,93.96000000000001,0.01064451575194788,False,False,False,0.19541009832211576
KXSG-26NOVMARGIN-13,KXSG,yes,0.08,5.0,0.03125,110.0,1000.0,546.52,453,0.5,1175,1.0005806077027288,94.0,0.01064447455002903,False,False,False,0.20034175832272874
KXUST10AM-26AUG31-T4.76,KXUST10AM,no,0.6,2.0000000000000018,0.2499999999999997,100.0,1000.0,960.0,40,0.5,162,1.0023511941591374,97.2,0.010312255083941744,False,False,False,0.1898707855143582
KXWTIMIN-26AUG31-T74.00,KXWTIMIN,no,0.12,4.000000000000001,0.0624999999999999,80.0,1000.0,252.0,748,0.5,811,1.0010646340898905,97.32,0.010286319709102864,False,False,False,0.2386148233414867
KXTGTFT-26SEP07-T95,KXTGTFT,no,0.61,2.0000000000000018,0.2499999999999997,100.0,1000.0,844.37,155,0.5,162,1.0023511941591374,98.82,0.010143201721909911,False,False,False,0.192888896159349
KXSGA-27FEBMARGIN-10,KXSGA,no,0.08,5.0,0.03125,100.0,1000.0,119.5,880,0.5,1293,1.0000541405953918,103.44,0.00966796346283248,False,False,False,0.2004192597965166
KXCMGCC-26SEP07-T102,KXCMGCC,yes,0.02,6.999999999999999,0.0078125,100.0,1000.0,310.87,689,0.5,5172,1.0000541405953918,103.44,0.00966796346283248,False,False,False,0.19556967704192782
KXEARNINGSMENTIONNBIS-26AUG06-GIGA,KXEARNINGSMENTIONNBIS,no,0.01,8.0,0.00390625,100.0,1000.0,900.73,99,0.5,10344,1.0000541405953918,103.44,0.00966796346283248,False,False,False,0.2252783272326306
KXRAIN-26AUG07-MIA,KXRAIN,yes,0.65,2.0000000000000018,0.2499999999999997,100.0,1000.0,110.52,889,0.5,162,1.0023511941591374,105.3,0.009519004692869301,True,False,False,0.5672442695635764
KXALBUMRELEASEDATE-NEWTAT-27OCT01,KXALBUMRELEASEDATE,yes,0.9,2.0000000000000018,0.2499999999999997,135.0,1000.0,983.01,16,0.5,120,1.0049627791563263,108.0,0.009305210918114133,False,False,False,0.245509782351942
