ticker,series,coin,wkey,a0,a1,ret,result,volume,oi
KXZEC15M-26JUL030945-45,KXZEC15M,ZEC,26JUL030945,464.0342,464.239,0.0004413467800433189,yes,399.57,208.95
KXZEC15M-26JUL030930-30,KXZEC15M,ZEC,26JUL030930,460.9637,464.0342,0.0066610451104934755,yes,162.16,114.02
KXZEC15M-26JUL030915-15,KXZEC15M,ZEC,26JUL030915,456.6455,460.9637,0.009456350714065921,yes,316.27,257.97
KXZEC15M-26JUL030900-00,KXZEC15M,ZEC,26JUL030900,454.8716,456.6455,0.0038997818285424414,yes,446.28,378.19
KXZEC15M-26JUL030845-45,KXZEC15M,ZEC,26JUL030845,455.7244,454.8716,-0.0018713064299388008,no,126.43,81.81
KXZEC15M-26JUL030830-30,KXZEC15M,ZEC,26JUL030830,462.196,455.7244,-0.014001852028143955,no,704.0,487.02
KXZEC15M-26JUL030815-15,KXZEC15M,ZEC,26JUL030815,463.457,462.196,-0.0027208565195907435,no,70.98,36.94
KXZEC15M-26JUL030800-00,KXZEC15M,ZEC,26JUL030800,462.3196,463.457,0.002460202855340794,yes,1548.17,790.17
KXZEC15M-26JUL030745-45,KXZEC15M,ZEC,26JUL030745,459.3231,462.3196,0.006523730245659252,yes,542.84,439.16
KXZEC15M-26JUL030730-30,KXZEC15M,ZEC,26JUL030730,457.9545,459.3231,0.0029885065000999334,yes,221.86,156.21
KXZEC15M-26JUL030715-15,KXZEC15M,ZEC,26JUL030715,460.2751,457.9545,-0.005041767412575682,no,1915.28,1592.0
KXZEC15M-26JUL030700-00,KXZEC15M,ZEC,26JUL030700,457.2718,460.2751,0.006567866201239666,yes,180.97,173.66
KXZEC15M-26JUL030645-45,KXZEC15M,ZEC,26JUL030645,448.1181,457.2718,0.020426981190895786,yes,2857.04,2638.92
KXZEC15M-26JUL030630-30,KXZEC15M,ZEC,26JUL030630,448.9206,448.1181,-0.0017876212408161985,no,77.88,52.34
KXZEC15M-26JUL030615-15,KXZEC15M,ZEC,26JUL030615,447.427,448.9206,0.003338198186519718,yes,614.56,201.02
KXZEC15M-26JUL030600-00,KXZEC15M,ZEC,26JUL030600,446.9075,447.427,0.0011624329419398726,yes,1106.41,598.65
KXZEC15M-26JUL030545-45,KXZEC15M,ZEC,26JUL030545,445.3884,446.9075,0.003410730948538483,yes,2059.64,889.75
KXZEC15M-26JUL030530-30,KXZEC15M,ZEC,26JUL030530,446.0749,445.3884,-0.0015389792162706837,no,177.88,134.81
KXZEC15M-26JUL030515-15,KXZEC15M,ZEC,26JUL030515,446.3437,446.0749,-0.0006022264904825559,no,1041.95,909.33
KXZEC15M-26JUL030500-00,KXZEC15M,ZEC,26JUL030500,450.0002,446.3437,-0.008125551944199123,no,256.64,81.23
KXZEC15M-26JUL030445-45,KXZEC15M,ZEC,26JUL030445,440.61,450.0002,0.02131181770726945,yes,337.87,236.12
KXZEC15M-26JUL030430-30,KXZEC15M,ZEC,26JUL030430,440.8922,440.61,-0.0006400657575706463,no,308.67,150.52
KXZEC15M-26JUL030415-15,KXZEC15M,ZEC,26JUL030415,439.4988,440.8922,0.0031704295893412804,yes,1082.41,680.73
KXZEC15M-26JUL030400-00,KXZEC15M,ZEC,26JUL030400,438.5953,439.4988,0.0020599855949208945,yes,868.87,546.05
KXZEC15M-26JUL030345-45,KXZEC15M,ZEC,26JUL030345,436.3101,438.5953,0.005237559249717189,yes,212.79,119.4
KXZEC15M-26JUL030330-30,KXZEC15M,ZEC,26JUL030330,436.5836,436.3101,-0.0006264550477846917,no,1615.62,928.84
KXZEC15M-26JUL030315-15,KXZEC15M,ZEC,26JUL030315,435.4944,436.5836,0.002501065455721142,yes,1039.64,709.67
KXZEC15M-26JUL030300-00,KXZEC15M,ZEC,26JUL030300,435.1379,435.4944,0.0008192805085467911,yes,1844.58,795.96
KXZEC15M-26JUL030245-45,KXZEC15M,ZEC,26JUL030245,436.8583,435.1379,-0.00393811906515221,no,248.29,98.63
KXZEC15M-26JUL030230-30,KXZEC15M,ZEC,26JUL030230,436.2333,436.8583,0.0014327196021028197,yes,1364.64,778.58
KXZEC15M-26JUL030215-15,KXZEC15M,ZEC,26JUL030215,434.6354,436.2333,0.0036764147605095705,yes,677.19,477.12
KXZEC15M-26JUL030200-00,KXZEC15M,ZEC,26JUL030200,432.0203,434.6354,0.006053187778444633,yes,1783.1,1289.37
KXZEC15M-26JUL030145-45,KXZEC15M,ZEC,26JUL030145,432.3218,432.0203,-0.0006973971703485133,no,4394.13,1935.47
KXZEC15M-26JUL030130-30,KXZEC15M,ZEC,26JUL030130,429.6122,432.3218,0.006307083458058275,yes,2068.79,1639.18
KXZEC15M-26JUL030115-15,KXZEC15M,ZEC,26JUL030115,427.2744,429.6122,0.005471425388462212,yes,260.42,176.52
KXZEC15M-26JUL030100-00,KXZEC15M,ZEC,26JUL030100,427.9523,427.2744,-0.0015840550453869871,no,737.9,403.94
KXZEC15M-26JUL030045-45,KXZEC15M,ZEC,26JUL030045,427.319,427.9523,0.0014820309885588117,yes,335.89,265.3
KXZEC15M-26JUL030030-30,KXZEC15M,ZEC,26JUL030030,427.5489,427.319,-0.0005377162705832864,no,164.28,122.87
KXZEC15M-26JUL030015-15,KXZEC15M,ZEC,26JUL030015,427.3149,427.5489,0.0005476055246376395,yes,1119.09,664.94
KXZEC15M-26JUL030000-00,KXZEC15M,ZEC,26JUL030000,426.7469,427.3149,0.0013309997096640667,yes,582.8,309.89
KXZEC15M-26JUL022345-45,KXZEC15M,ZEC,26JUL022345,426.972,426.7469,-0.000527200846893936,no,1548.47,609.31
KXZEC15M-26JUL022330-30,KXZEC15M,ZEC,26JUL022330,426.9382,426.972,7.91683667565591e-05,yes,5705.82,2381.12
KXZEC15M-26JUL022315-15,KXZEC15M,ZEC,26JUL022315,431.6069,426.9382,-0.010817018912348254,no,647.08,559.15
KXZEC15M-26JUL022300-00,KXZEC15M,ZEC,26JUL022300,430.1495,431.6069,0.003388124361413897,yes,603.01,391.14
KXZEC15M-26JUL022245-45,KXZEC15M,ZEC,26JUL022245,432.834,430.1495,-0.006202146781445113,no,549.37,416.26
KXZEC15M-26JUL022230-30,KXZEC15M,ZEC,26JUL022230,433.6724,432.834,-0.0019332565318889992,no,732.39,251.59
KXZEC15M-26JUL022215-15,KXZEC15M,ZEC,26JUL022215,435.7052,433.6724,-0.004665539910930622,no,291.12,171.47
KXZEC15M-26JUL022200-00,KXZEC15M,ZEC,26JUL022200,435.3684,435.7052,0.0007735977163248009,yes,328.27,127.61
KXZEC15M-26JUL022145-45,KXZEC15M,ZEC,26JUL022145,433.5795,435.3684,0.004125886948068376,yes,276.01,184.31
KXZEC15M-26JUL022130-30,KXZEC15M,ZEC,26JUL022130,434.4112,433.5795,-0.0019145454813320009,no,737.24,687.65
KXZEC15M-26JUL022115-15,KXZEC15M,ZEC,26JUL022115,432.7037,434.4112,0.00394611832531125,yes,565.06,453.83
KXZEC15M-26JUL022100-00,KXZEC15M,ZEC,26JUL022100,431.815,432.7037,0.002058057269895739,yes,218.78,181.86
KXZEC15M-26JUL022045-45,KXZEC15M,ZEC,26JUL022045,431.731,431.815,0.00019456559755959887,yes,268.0,92.13
KXZEC15M-26JUL022030-30,KXZEC15M,ZEC,26JUL022030,433.8514,431.731,-0.004887387709247954,no,643.02,468.24
