coin,wkey,ticker,day,hour,minute,secs,px,vol,frac_long,won,edge
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,10,623.4955310821533,0.7,67.49,0.0,0,-0.7
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,9,579.5028209686279,0.77,444.60999999999996,0.3194485054317267,0,-0.77
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,8,534.4286589622498,0.66,2591.940000000001,0.13202466106468508,0,-0.66
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,7,478.71472001075745,0.55,3210.4600000000028,0.1324015873114755,0,-0.55
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,6,416.9569640159607,0.66,6166.610000000007,0.2964659675251067,0,-0.66
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,5,357.9413630962372,0.52,9640.410000000009,0.32673091704605906,1,0.48
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,4,299.63954496383667,0.85,14516.910000000013,0.3861124715934725,1,0.15000000000000002
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,3,239.94634294509888,0.74,17226.900000000016,0.39193586774172945,1,0.26
XRP,26JUL251415,KXXRP15M-26JUL251415-15,2026-07-25,18,2,176.9818239212036,0.73,20741.609999999986,0.4370287552412766,1,0.27
XRP,26JUL251430,KXXRP15M-26JUL251430-30,2026-07-25,18,7,435.93156909942627,0.6,0.0,0.0,0,-0.6
XRP,26JUL251430,KXXRP15M-26JUL251430-30,2026-07-25,18,6,417.73677611351013,0.63,767.0299999999999,0.9212938216236655,0,-0.63
XRP,26JUL251430,KXXRP15M-26JUL251430-30,2026-07-25,18,5,326.37650299072266,0.5900000000000001,2416.0099999999993,0.43603710249543676,0,-0.5900000000000001
XRP,26JUL251430,KXXRP15M-26JUL251430-30,2026-07-25,18,4,299.9480710029602,0.69,3290.34,0.43914914568099334,0,-0.69
XRP,26JUL251430,KXXRP15M-26JUL251430-30,2026-07-25,18,3,239.6324679851532,0.5900000000000001,7306.200000000005,0.49670143166078096,0,-0.5900000000000001
XRP,26JUL251430,KXXRP15M-26JUL251430-30,2026-07-25,18,2,176.75353693962097,0.5800000000000001,12963.87000000001,0.509824612557824,0,-0.5800000000000001
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,11,708.7115540504456,0.62,0.0,0.0,1,0.38
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,10,658.7607378959656,0.64,704.18,0.5238007327671903,0,-0.64
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,9,582.7129740715027,0.5900000000000001,1798.2200000000003,0.5718210230116448,1,0.4099999999999999
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,8,536.6671099662781,0.6599999999999999,2380.730000000001,0.5304255417455989,1,0.3400000000000001
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,7,465.35876989364624,0.73,3243.1200000000026,0.5671298009324351,1,0.27
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,6,419.1806540489197,0.6699999999999999,5013.350000000005,0.4960495477076202,1,0.33000000000000007
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,5,353.21154403686523,0.75,5621.780000000005,0.5173539341632005,1,0.25
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,4,299.1895101070404,0.65,6172.990000000008,0.5404706633252275,1,0.35
XRP,26JUL251445,KXXRP15M-26JUL251445-45,2026-07-25,18,3,239.90484309196472,0.63,8152.420000000008,0.501749173864938,1,0.37
