coin,wkey,day,px,maker_yes,vol,frac_long,won,edge
ETH,26AUG032300,2026-08-04,0.6599999999999999,False,5558.870000000002,0.42616754844060006,1,0.3400000000000001
ETH,26AUG032245,2026-08-04,0.65,True,8231.630000000003,0.5128012313478618,1,0.35
ETH,26AUG032230,2026-08-04,0.65,False,3112.13,0.581726984412605,1,0.35
ETH,26AUG032215,2026-08-04,0.65,False,7896.05,0.46618372477377923,1,0.35
ETH,26AUG032200,2026-08-04,0.68,True,8289.66,0.4363942550116651,1,0.31999999999999995
ETH,26AUG032145,2026-08-04,0.8,True,11289.170000000002,0.7297161793116769,1,0.19999999999999996
ETH,26AUG032130,2026-08-04,0.66,True,5918.030000000001,0.7815421685932649,1,0.33999999999999997
ETH,26AUG032115,2026-08-04,0.65,True,6662.480000000001,0.3680371273159543,1,0.35
ETH,26AUG032100,2026-08-04,0.6799999999999999,False,35.010000000000005,0.0,1,0.32000000000000006
ETH,26AUG032045,2026-08-04,0.6699999999999999,False,9795.21,0.4628200926779517,1,0.33000000000000007
ETH,26AUG032030,2026-08-04,0.74,False,4359.010000000002,0.5883950713579457,1,0.26
ETH,26AUG032000,2026-08-04,0.65,True,6588.720000000001,0.38160522832962984,1,0.35
ETH,26AUG031945,2026-08-03,0.83,False,0.0,0.0,1,0.17000000000000004
ETH,26AUG031930,2026-08-03,0.65,True,6161.889999999999,0.4897442180889305,1,0.35
SOL,26AUG051115,2026-08-05,0.65,False,961.4,0.7340128978572914,0,-0.65
SOL,26AUG051100,2026-08-05,0.66,True,164.45000000000005,0.1682578291273943,1,0.33999999999999997
SOL,26AUG051045,2026-08-05,0.6799999999999999,False,101.30999999999999,0.24410226038890534,1,0.32000000000000006
SOL,26AUG051030,2026-08-05,0.65,True,3017.5999999999995,0.5970274390243904,0,-0.65
SOL,26AUG051015,2026-08-05,0.6599999999999999,False,687.3499999999998,0.4396595620862735,0,-0.6599999999999999
SOL,26AUG051000,2026-08-05,0.6699999999999999,False,923.76,0.5688598770243353,0,-0.6699999999999999
SOL,26AUG050945,2026-08-05,0.65,False,1759.3199999999997,0.33606166018689043,1,0.35
SOL,26AUG050930,2026-08-05,0.66,True,622.9399999999998,0.3870196166564999,0,-0.66
SOL,26AUG050915,2026-08-05,0.6599999999999999,False,2484.38,0.2954620468688365,1,0.3400000000000001
SOL,26AUG050900,2026-08-05,0.6599999999999999,False,604.01,0.30573997119252994,1,0.3400000000000001
SOL,26AUG050845,2026-08-05,0.65,False,265.61000000000007,0.5166974135009976,1,0.35
SOL,26AUG050830,2026-08-05,0.65,True,992.73,0.7462149829258711,1,0.35
SOL,26AUG050815,2026-08-05,0.6799999999999999,False,1201.84,0.03081108966251747,0,-0.6799999999999999
SOL,26AUG050745,2026-08-05,0.65,False,1170.06,0.07053484436695555,1,0.35
SOL,26AUG050730,2026-08-05,0.71,False,552.28,0.07700803940030419,1,0.29000000000000004
SOL,26AUG050715,2026-08-05,0.68,True,1094.3500000000001,0.12950153058893404,1,0.31999999999999995
SOL,26AUG050700,2026-08-05,0.69,False,341.40999999999997,0.7570662839401306,1,0.31000000000000005
SOL,26AUG050645,2026-08-05,0.7,False,889.8299999999999,0.8813818369800972,1,0.30000000000000004
SOL,26AUG050630,2026-08-05,0.81,False,1469.77,0.10071643862645174,0,-0.81
SOL,26AUG050615,2026-08-05,0.66,True,4449.640000000003,0.5699225105851257,0,-0.66
SOL,26AUG050600,2026-08-05,0.7,False,951.17,0.3212464648800951,1,0.30000000000000004
SOL,26AUG050545,2026-08-05,0.65,True,778.65,0.13757143774481476,1,0.35
SOL,26AUG050530,2026-08-05,0.65,True,1141.3100000000002,0.6842137543699782,1,0.35
SOL,26AUG050515,2026-08-05,0.73,False,291.91,0.2004384913158165,0,-0.73
SOL,26AUG050500,2026-08-05,0.66,True,3916.5799999999995,0.44952739379764994,1,0.33999999999999997
SOL,26AUG050445,2026-08-05,0.6599999999999999,False,1115.01,0.3431179989417135,1,0.3400000000000001
SOL,26AUG050430,2026-08-05,0.69,False,1295.71,0.20566330428876833,0,-0.69
SOL,26AUG050415,2026-08-05,0.72,True,672.3399999999999,0.5695927655650415,1,0.28
SOL,26AUG050400,2026-08-05,0.69,True,565.1999999999999,0.42478768577494697,1,0.31000000000000005
SOL,26AUG050345,2026-08-05,0.68,True,827.75,0.39372999093929306,0,-0.68
SOL,26AUG050330,2026-08-05,0.6799999999999999,False,1319.6999999999994,0.22931726907630537,1,0.32000000000000006
SOL,26AUG050315,2026-08-05,0.6599999999999999,False,920.7799999999997,0.528725645648255,1,0.3400000000000001
SOL,26AUG050300,2026-08-05,0.6699999999999999,False,299.67,0.5110287983448459,1,0.33000000000000007
SOL,26AUG050245,2026-08-05,0.65,True,521.72,0.1998389940964502,0,-0.65
SOL,26AUG050230,2026-08-05,0.6699999999999999,False,272.89,0.20554069405254866,0,-0.6699999999999999
SOL,26AUG050215,2026-08-05,0.71,False,1381.8600000000001,0.10359949633103208,1,0.29000000000000004
SOL,26AUG050200,2026-08-05,0.75,True,564.5999999999999,0.1909316330145236,1,0.25
SOL,26AUG050145,2026-08-05,0.73,False,620.4799999999999,0.6572975760701393,1,0.27
SOL,26AUG050130,2026-08-05,0.66,True,3589.930000000001,0.3478730783051479,1,0.33999999999999997
SOL,26AUG050115,2026-08-05,0.7,False,270.52,0.5031051308590863,0,-0.7
SOL,26AUG050100,2026-08-05,0.74,True,4575.99,0.2853284207351853,1,0.26
SOL,26AUG050045,2026-08-05,0.65,True,497.04,0.1532069853532915,1,0.35
SOL,26AUG050030,2026-08-05,0.7,False,1701.1400000000003,0.4468003809210293,1,0.30000000000000004
SOL,26AUG050015,2026-08-05,0.6699999999999999,False,1275.71,0.47096910739901693,1,0.33000000000000007
SOL,26AUG050000,2026-08-05,0.65,True,3874.310000000003,0.2855863366638186,0,-0.65
SOL,26AUG042345,2026-08-05,0.66,True,1442.91,0.33600848285755863,1,0.33999999999999997
SOL,26AUG042330,2026-08-05,0.65,False,244.14,0.37326943556975506,1,0.35
SOL,26AUG042315,2026-08-05,0.77,True,622.8,0.22442196531791905,0,-0.77
SOL,26AUG042300,2026-08-05,0.75,True,1523.7899999999993,0.6315765295742855,0,-0.75
SOL,26AUG042245,2026-08-05,0.65,True,3100.3300000000017,0.09398354368728484,1,0.35
SOL,26AUG042230,2026-08-05,0.65,False,3935.8000000000006,0.19985771634737534,1,0.35
SOL,26AUG042215,2026-08-05,0.66,True,1367.2599999999998,0.5155493468689204,1,0.33999999999999997
SOL,26AUG042200,2026-08-05,0.65,True,890.65,0.7179475663841016,1,0.35
SOL,26AUG042145,2026-08-05,0.65,True,905.5999999999999,0.08721289752650177,1,0.35
SOL,26AUG042130,2026-08-05,0.65,False,2269.0900000000006,0.1758590448153224,0,-0.65
SOL,26AUG042115,2026-08-05,0.74,False,1535.5800000000002,0.28666692715456044,0,-0.74
SOL,26AUG042100,2026-08-05,0.65,False,11224.300000000017,0.4155751360886642,1,0.35
SOL,26AUG042045,2026-08-05,0.69,True,1601.44,0.23638725147367365,0,-0.69
SOL,26AUG042030,2026-08-05,0.65,False,3781.100000000001,0.45605247150300166,1,0.35
SOL,26AUG042015,2026-08-05,0.65,False,1882.33,0.3471601685145536,1,0.35
SOL,26AUG042000,2026-08-05,0.6699999999999999,False,1315.89,0.6584972908069823,1,0.33000000000000007
SOL,26AUG041945,2026-08-04,0.83,False,0.0,0.0,1,0.17000000000000004
SOL,26AUG041930,2026-08-04,0.67,True,1909.7099999999996,0.20213016636033748,0,-0.67
SOL,26AUG041915,2026-08-04,0.78,False,1957.49,0.236128920198826,0,-0.78
SOL,26AUG041900,2026-08-04,0.6599999999999999,False,2649.5500000000006,0.42728765262025614,0,-0.6599999999999999
SOL,26AUG041845,2026-08-04,0.7,True,862.95,0.20574772582420764,0,-0.7
SOL,26AUG041830,2026-08-04,0.65,False,3181.6400000000003,0.12899008058737002,0,-0.65
SOL,26AUG041815,2026-08-04,0.71,False,1581.49,0.08534989155796117,1,0.29000000000000004
SOL,26AUG041800,2026-08-04,0.65,True,2257.1299999999997,0.10539490414818822,1,0.35
SOL,26AUG041745,2026-08-04,0.65,False,385.38,0.3784576262390368,0,-0.65
SOL,26AUG041730,2026-08-04,0.66,True,2037.4799999999996,0.09796415179535506,1,0.33999999999999997
SOL,26AUG041715,2026-08-04,0.7,False,1514.9599999999998,0.2951959127633733,1,0.30000000000000004
SOL,26AUG041700,2026-08-04,0.6799999999999999,False,908.88,0.4313330692720711,1,0.32000000000000006
SOL,26AUG041645,2026-08-04,0.74,True,1050.27,0.5417654507888447,1,0.26
SOL,26AUG041630,2026-08-04,0.81,False,2076.5400000000004,0.1667966906488678,1,0.18999999999999995
