coin,wkey,day,minute,px,vol,frac_long,maker_yes,won,edge
BTC,26JUL271445,2026-07-27,2,0.75,0.0,0.0,False,1,0.25
BTC,26JUL271630,2026-07-27,2,0.923,34.26,0.0,True,1,0.07699999999999996
BTC,26JUL271745,2026-07-27,2,0.927,0.0,0.0,False,1,0.07299999999999995
BTC,26JUL271800,2026-07-27,2,0.87,0.0,0.0,True,1,0.13
BTC,26JUL271930,2026-07-27,2,0.945,46184.94999999999,0.546648421184823,True,1,0.05500000000000005
BTC,26JUL272045,2026-07-28,2,0.84,17.46,0.0,False,1,0.16000000000000003
BTC,26JUL272130,2026-07-28,2,0.915,86.20000000000002,0.0,True,1,0.08499999999999996
BTC,26JUL272200,2026-07-28,2,0.87,560.24,0.0,True,1,0.13
BTC,26JUL272330,2026-07-28,2,0.75,0.0,0.0,True,1,0.25
BTC,26JUL280030,2026-07-28,2,0.52,1838.8,0.0,False,1,0.48
BTC,26JUL280330,2026-07-28,2,0.52,0.0,0.0,True,1,0.48
BTC,26JUL280400,2026-07-28,2,0.949,10371.08,0.5225424931636821,True,1,0.051000000000000045
BTC,26JUL280445,2026-07-28,2,0.6,6954.85,0.0,True,1,0.4
BTC,26JUL280530,2026-07-28,2,0.926,733.69,0.0,True,1,0.07399999999999995
BTC,26JUL280615,2026-07-28,3,0.85,0.0,0.0,False,1,0.15000000000000002
BTC,26JUL280615,2026-07-28,2,0.87,35088.950000000004,0.13167136662681558,False,1,0.13
BTC,26JUL280630,2026-07-28,3,0.89,0.0,0.0,False,0,-0.89
BTC,26JUL280630,2026-07-28,2,0.88,8247.04,0.5357000814837809,False,0,-0.88
BTC,26JUL280700,2026-07-28,2,0.56,184.0,0.0,False,1,0.43999999999999995
BTC,26JUL280745,2026-07-28,2,0.904,1341.99,0.0,False,1,0.09599999999999997
BTC,26JUL280815,2026-07-28,3,0.74,10.0,0.0,False,1,0.26
BTC,26JUL280815,2026-07-28,2,0.76,21725.559999999994,0.664579417055303,False,1,0.24
BTC,26JUL280830,2026-07-28,2,0.94,0.0,0.0,True,1,0.06000000000000005
BTC,26JUL280845,2026-07-28,2,0.53,0.0,0.0,True,1,0.47
BTC,26JUL280915,2026-07-28,2,0.948,25686.169999999995,0.5716854634225347,False,1,0.052000000000000046
BTC,26JUL281000,2026-07-28,2,0.89,220.0,0.0,True,1,0.10999999999999999
BTC,26JUL281115,2026-07-28,2,0.89,0.0,0.0,True,1,0.10999999999999999
BTC,26JUL281145,2026-07-28,2,0.949,69869.86,0.5033993198211648,True,1,0.051000000000000045
BTC,26JUL281200,2026-07-28,2,0.55,509.65999999999997,0.0,True,1,0.44999999999999996
BTC,26JUL281215,2026-07-28,2,0.94,1259.26,0.9944411797404825,False,1,0.06000000000000005
BTC,26JUL281230,2026-07-28,2,0.77,146.53000000000003,0.0,True,1,0.22999999999999998
BTC,26JUL281245,2026-07-28,2,0.937,0.0,0.0,True,1,0.06299999999999994
BTC,26JUL281330,2026-07-28,2,0.917,500.0,0.0,False,1,0.08299999999999996
BTC,26JUL281415,2026-07-28,2,0.914,0.0,0.0,True,1,0.08599999999999997
BTC,26JUL281445,2026-07-28,2,0.919,108.24,0.0,True,1,0.08099999999999996
BTC,26JUL281500,2026-07-28,2,0.948,86598.79999999997,0.35904977898077123,False,1,0.052000000000000046
BTC,26JUL281530,2026-07-28,2,0.86,0.0,0.0,False,1,0.14
BTC,26JUL281545,2026-07-28,2,0.56,0.0,0.0,False,1,0.43999999999999995
BTC,26JUL281645,2026-07-28,2,0.81,0.0,0.0,True,1,0.18999999999999995
BTC,26JUL281730,2026-07-28,2,0.909,0.0,0.0,False,1,0.09099999999999997
BTC,26JUL281800,2026-07-28,2,0.943,0.0,0.0,False,1,0.05700000000000005
BTC,26JUL281845,2026-07-28,3,0.918,0.0,0.0,False,1,0.08199999999999996
BTC,26JUL281845,2026-07-28,2,0.905,15621.030000000004,0.29879079676564213,False,1,0.09499999999999997
BTC,26JUL281900,2026-07-28,2,0.949,1117.98,0.10362439399631478,False,1,0.051000000000000045
BTC,26JUL282030,2026-07-29,2,0.86,0.0,0.0,False,1,0.14
BTC,26JUL282230,2026-07-29,2,0.926,1120.12,0.0,True,1,0.07399999999999995
BTC,26JUL282245,2026-07-29,2,0.934,0.0,0.0,True,1,0.06599999999999995
BTC,26JUL282315,2026-07-29,2,0.5,0.0,0.0,False,1,0.5
BTC,26JUL282345,2026-07-29,2,0.929,0.0,0.0,False,1,0.07099999999999995
BTC,26JUL290000,2026-07-29,2,0.948,30111.28000000001,0.5766201237542874,False,1,0.052000000000000046
BTC,26JUL290030,2026-07-29,2,0.942,1046.78,0.9952234471426661,True,1,0.05800000000000005
BTC,26JUL290130,2026-07-29,2,0.931,0.01,0.0,False,1,0.06899999999999995
BTC,26JUL290200,2026-07-29,3,0.948,16080.089999999998,0.9464611205534299,True,1,0.052000000000000046
BTC,26JUL290215,2026-07-29,2,0.8,77.19,0.0,True,1,0.19999999999999996
BTC,26JUL290245,2026-07-29,2,0.948,319.02,0.983041815560153,True,1,0.052000000000000046
BTC,26JUL290300,2026-07-29,2,0.933,0.0,0.0,False,1,0.06699999999999995
BTC,26JUL290330,2026-07-29,2,0.83,0.0,0.0,True,1,0.17000000000000004
BTC,26JUL290345,2026-07-29,2,0.949,102278.18999999994,0.5614634948076419,False,1,0.051000000000000045
BTC,26JUL290400,2026-07-29,2,0.72,0.0,0.0,True,1,0.28
BTC,26JUL290500,2026-07-29,2,0.6599999999999999,881.36,0.0,False,0,-0.6599999999999999
BTC,26JUL290630,2026-07-29,3,0.86,0.0,0.0,False,1,0.14
BTC,26JUL290630,2026-07-29,2,0.86,7816.020000000001,0.3393235943613245,False,1,0.14
BTC,26JUL290645,2026-07-29,2,0.65,30.0,0.0,True,1,0.35
BTC,26JUL290715,2026-07-29,2,0.909,802.88,0.0,True,1,0.09099999999999997
BTC,26JUL290730,2026-07-29,2,0.61,0.0,0.0,True,0,-0.61
BTC,26JUL290900,2026-07-29,2,0.915,0.0,0.0,False,1,0.08499999999999996
BTC,26JUL290915,2026-07-29,2,0.935,850.0,0.0,True,1,0.06499999999999995
BTC,26JUL291000,2026-07-29,2,0.948,125519.70000000008,0.6377563840576413,False,0,-0.948
BTC,26JUL291030,2026-07-29,2,0.938,0.0,0.0,False,1,0.062000000000000055
BTC,26JUL291100,2026-07-29,2,0.94,0.0,0.0,True,1,0.06000000000000005
BTC,26JUL291115,2026-07-29,2,0.87,825.9200000000001,0.0,True,1,0.13
BTC,26JUL291130,2026-07-29,2,0.946,84189.25999999988,0.7121303833766932,False,1,0.05400000000000005
BTC,26JUL291145,2026-07-29,2,0.926,2232.7699999999995,0.0,False,1,0.07399999999999995
BTC,26JUL291200,2026-07-29,2,0.905,0.0,0.0,False,1,0.09499999999999997
BTC,26JUL291315,2026-07-29,2,0.62,0.0,0.0,True,1,0.38
BTC,26JUL291330,2026-07-29,2,0.75,94.89,0.0,False,1,0.25
BTC,26JUL291500,2026-07-29,2,0.93,0.0,0.0,True,1,0.06999999999999995
BTC,26JUL291545,2026-07-29,2,0.935,0.0,0.0,False,1,0.06499999999999995
BTC,26JUL291715,2026-07-29,2,0.949,99842.49999999993,0.5206792698500139,False,1,0.051000000000000045
BTC,26JUL291730,2026-07-29,2,0.84,0.0,0.0,True,1,0.16000000000000003
BTC,26JUL291745,2026-07-29,2,0.916,255.4,0.0,True,1,0.08399999999999996
BTC,26JUL291915,2026-07-29,2,0.86,452.35,0.0,False,1,0.14
